cod_dpto,departamento,cod_mpio,municipio,year,area_geografica,population
05,Antioquia,05086,Belmira,2024,Centros Poblados y Rural Disperso,4408
05,Antioquia,05086,Belmira,2024,Total,6193
05,Antioquia,05086,Belmira,2025,Cabecera Municipal,1793
05,Antioquia,05086,Belmira,2025,Centros Poblados y Rural Disperso,4358
05,Antioquia,05086,Belmira,2025,Total,6151
05,Antioquia,05088,Bello,2019,Cabecera Municipal,512885
05,Antioquia,05088,Bello,2019,Centros Poblados y Rural Disperso,24566
05,Antioquia,05088,Bello,2019,Total,537451
05,Antioquia,05088,Bello,2020,Cabecera Municipal,531516
05,Antioquia,05088,Bello,2020,Centros Poblados y Rural Disperso,22061
05,Antioquia,05088,Bello,2020,Total,553577
05,Antioquia,05088,Bello,2021,Cabecera Municipal,543545
05,Antioquia,05088,Bello,2021,Centros Poblados y Rural Disperso,22085
05,Antioquia,05088,Bello,2021,Total,565630
05,Antioquia,05088,Bello,2022,Cabecera Municipal,553266
05,Antioquia,05088,Bello,2022,Centros Poblados y Rural Disperso,21987
05,Antioquia,05088,Bello,2022,Total,575253
05,Antioquia,05088,Bello,2023,Cabecera Municipal,562204
05,Antioquia,05088,Bello,2023,Centros Poblados y Rural Disperso,21858
05,Antioquia,05088,Bello,2023,Total,584062
05,Antioquia,05088,Bello,2024,Cabecera Municipal,571623
05,Antioquia,05088,Bello,2024,Centros Poblados y Rural Disperso,21721
05,Antioquia,05088,Bello,2024,Total,593344
05,Antioquia,05088,Bello,2025,Cabecera Municipal,580365
05,Antioquia,05088,Bello,2025,Centros Poblados y Rural Disperso,21551
05,Antioquia,05088,Bello,2025,Total,601916
05,Antioquia,05091,Betania,2019,Cabecera Municipal,3683
05,Antioquia,05091,Betania,2019,Centros Poblados y Rural Disperso,6763
05,Antioquia,05091,Betania,2019,Total,10446
05,Antioquia,05091,Betania,2020,Cabecera Municipal,3767
05,Antioquia,05091,Betania,2020,Centros Poblados y Rural Disperso,6837
05,Antioquia,05091,Betania,2020,Total,10604
05,Antioquia,05091,Betania,2021,Cabecera Municipal,3834
05,Antioquia,05091,Betania,2021,Centros Poblados y Rural Disperso,6827
05,Antioquia,05091,Betania,2021,Total,10661
05,Antioquia,05091,Betania,2022,Cabecera Municipal,3879
05,Antioquia,05091,Betania,2022,Centros Poblados y Rural Disperso,6804
05,Antioquia,05091,Betania,2022,Total,10683
05,Antioquia,05091,Betania,2023,Cabecera Municipal,3925
05,Antioquia,05091,Betania,2023,Centros Poblados y Rural Disperso,6761
05,Antioquia,05091,Betania,2023,Total,10686
05,Antioquia,05091,Betania,2024,Cabecera Municipal,3945
05,Antioquia,05091,Betania,2024,Centros Poblados y Rural Disperso,6813
05,Antioquia,05091,Betania,2024,Total,10758
05,Antioquia,05091,Betania,2025,Cabecera Municipal,3992
05,Antioquia,05091,Betania,2025,Centros Poblados y Rural Disperso,6759
05,Antioquia,05091,Betania,2025,Total,10751
05,Antioquia,05093,Betulia,2019,Cabecera Municipal,4445
05,Antioquia,05093,Betulia,2019,Centros Poblados y Rural Disperso,11484
05,Antioquia,05093,Betulia,2019,Total,15929
05,Antioquia,05093,Betulia,2020,Cabecera Municipal,4590
05,Antioquia,05093,Betulia,2020,Centros Poblados y Rural Disperso,11661
05,Antioquia,05093,Betulia,2020,Total,16251
05,Antioquia,05093,Betulia,2021,Cabecera Municipal,4722
