departamento,year,ipm_domain,ipm_pct,cod_dpto
Tolima,2022,Centros poblados  y rural disperso,22.0,73
Tolima,2022,Total,10.5,73
Tolima,2023,Cabeceras,8.0,73
Tolima,2023,Centros poblados  y rural disperso,23.9,73
Tolima,2023,Total,12.9,73
Tolima,2024,Cabeceras,7.2,73
Tolima,2024,Centros poblados  y rural disperso,24.7,73
Tolima,2024,Total,12.6,73
Tolima,2025,Cabeceras,9.0,73
Tolima,2025,Centros poblados  y rural disperso,19.6,73
Tolima,2025,Total,12.2,73
Valle del Cauca,2018,Cabeceras,12.5,76
Valle del Cauca,2018,Centros poblados  y rural disperso,23.2,76
Valle del Cauca,2018,Total,14.1,76
Valle del Cauca,2019,Cabeceras,9.3,76
Valle del Cauca,2019,Centros poblados  y rural disperso,19.4,76
Valle del Cauca,2019,Total,10.8,76
Valle del Cauca,2020,Cabeceras,8.9,76
Valle del Cauca,2020,Centros poblados  y rural disperso,24.1,76
Valle del Cauca,2020,Total,11.1,76
Valle del Cauca,2021,Cabeceras,6.9,76
Valle del Cauca,2021,Centros poblados  y rural disperso,18.6,76
Valle del Cauca,2021,Total,8.6,76
Valle del Cauca,2022,Cabeceras,8.0,76
Valle del Cauca,2022,Centros poblados  y rural disperso,19.4,76
Valle del Cauca,2022,Total,9.7,76
Valle del Cauca,2023,Cabeceras,5.8,76
Valle del Cauca,2023,Centros poblados  y rural disperso,15.8,76
Valle del Cauca,2023,Total,7.2,76
Valle del Cauca,2024,Cabeceras,4.6,76
Valle del Cauca,2024,Centros poblados  y rural disperso,15.9,76
Valle del Cauca,2024,Total,6.2,76
Valle del Cauca,2025,Cabeceras,4.2,76
Valle del Cauca,2025,Centros poblados  y rural disperso,9.5,76
Valle del Cauca,2025,Total,4.9,76
Arauca,2018,Cabeceras,24.6,81
Arauca,2018,Centros poblados  y rural disperso,33.3,81
Arauca,2018,Total,27.6,81
Arauca,2019,Cabeceras,20.5,81
Arauca,2019,Centros poblados  y rural disperso,28.6,81
Arauca,2019,Total,23.3,81
Arauca,2020,Cabeceras,23.4,81
Arauca,2020,Centros poblados  y rural disperso,31.1,81
Arauca,2020,Total,26.1,81
Arauca,2021,Cabeceras,25.8,81
Arauca,2021,Centros poblados  y rural disperso,28.7,81
Arauca,2021,Total,26.8,81
Arauca,2022,Cabeceras,22.4,81
Arauca,2022,Centros poblados  y rural disperso,22.9,81
Arauca,2022,Total,22.6,81
Arauca,2023,Cabeceras,20.7,81
Arauca,2023,Centros poblados  y rural disperso,26.6,81
Arauca,2023,Total,22.8,81
Arauca,2024,Cabeceras,17.4,81
Arauca,2024,Centros poblados  y rural disperso,18.3,81
Arauca,2024,Total,17.7,81
Arauca,2025,Cabeceras,11.9,81
Arauca,2025,Centros poblados  y rural disperso,14.1,81
Arauca,2025,Total,12.7,81
Casanare,2018,Cabeceras,14.5,85
Casanare,2018,Centros poblados  y rural disperso,29.6,85
Casanare,2018,Total,19.0,85
Casanare,2019,Cabeceras,15.1,85
Casanare,2019,Centros poblados  y rural disperso,26.2,85
Casanare,2019,Total,18.3,85
Casanare,2020,Cabeceras,14.3,85
