cod_mpio,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps
15236,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15238,321,308,321,74,4,317,Fecha corte REPS: Mar 12 2026  3:11PM
15244,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15248,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15272,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15276,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15293,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15296,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15299,25,24,25,5,2,23,Fecha corte REPS: Mar 12 2026  3:11PM
15317,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15322,19,19,19,3,1,18,Fecha corte REPS: Mar 12 2026  3:11PM
15325,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15332,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15362,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15367,11,11,11,1,1,10,Fecha corte REPS: Mar 12 2026  3:11PM
15368,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15377,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15380,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15401,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15403,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
15407,41,41,41,3,1,40,Fecha corte REPS: Mar 12 2026  3:11PM
15425,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15442,3,1,3,3,3,0,Fecha corte REPS: Mar 12 2026  3:11PM
15455,16,16,16,3,1,15,Fecha corte REPS: Mar 12 2026  3:11PM
15464,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
