cod_mpio,year,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_intento_suicidio_occurrence_mpio_distinct
15776,2024,7,7,2
15778,2021,2,2,1
15778,2023,3,3,1
15778,2024,2,2,2
15790,2021,8,8,1
15790,2022,6,6,1
15790,2023,14,14,1
15790,2024,2,2,1
15798,2022,3,3,1
15798,2024,1,1,1
15804,2021,4,4,1
15804,2022,8,8,1
15804,2023,7,7,1
15804,2024,4,4,1
15806,2021,3,3,1
15806,2022,9,9,3
15806,2023,10,10,2
15806,2024,11,11,2
15808,2022,1,1,1
15808,2023,4,4,1
15808,2024,3,3,1
15810,2024,4,4,1
15814,2021,5,5,1
15814,2022,6,6,1
15814,2023,10,10,1
15814,2024,3,3,1
15816,2021,3,3,1
15816,2022,3,3,1
15816,2023,4,4,1
15816,2024,1,1,1
15820,2021,3,3,1
15820,2022,6,6,1
15820,2023,4,4,1
15820,2024,4,4,1
15822,2021,1,1,1
15822,2022,10,10,1
15822,2023,2,2,1
15822,2024,6,6,1
15832,2021,1,1,1
15832,2022,1,1,1
15835,2021,1,1,1
