cod_mpio,year,month,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados
05120,2022,4,1,1
05120,2022,6,2,2
05120,2022,7,2,2
05120,2022,8,1,1
05120,2022,9,2,2
05120,2022,10,1,1
05120,2022,12,1,1
05120,2023,1,3,3
05120,2023,2,1,1
05120,2023,4,1,1
05120,2023,8,1,1
05120,2023,10,1,1
05120,2023,12,1,1
05120,2024,2,1,1
05120,2024,3,1,1
05120,2024,4,1,1
05120,2024,5,2,2
05120,2024,6,2,2
05120,2024,9,1,1
05120,2024,10,1,1
05120,2024,11,1,1
05120,2024,12,1,1
05125,2021,11,1,1
05125,2021,12,1,1
05125,2022,3,1,1
05125,2022,4,1,1
05125,2022,9,2,2
05125,2022,11,1,1
05125,2022,12,1,1
05125,2023,1,1,1
05125,2023,4,1,1
05125,2023,5,1,1
05125,2024,2,1,1
05125,2024,4,1,1
05125,2024,5,1,1
05125,2024,8,1,1
05129,2021,1,1,1
05129,2021,2,1,1
05129,2021,5,1,1
05129,2021,6,1,1
05129,2021,10,2,2
05129,2021,11,1,1
05129,2022,2,3,3
05129,2022,3,1,1
05129,2022,4,2,2
05129,2022,5,1,1
05129,2022,6,6,6
05129,2022,7,5,5
05129,2022,8,1,1
05129,2022,9,1,1
05129,2022,10,7,7
05129,2022,11,5,5
05129,2022,12,1,1
05129,2023,1,2,2
05129,2023,2,4,4
05129,2023,3,3,3
05129,2023,4,10,10
05129,2023,5,6,6
05129,2023,6,4,4
05129,2023,7,3,3
05129,2023,8,7,7
05129,2023,9,5,5
05129,2023,10,2,2
05129,2023,11,10,10
05129,2023,12,8,8
05129,2024,1,2,2
05129,2024,2,3,3
05129,2024,3,1,1
05129,2024,4,2,2
05129,2024,5,2,2
05129,2024,6,2,2
05129,2024,7,6,6
05129,2024,8,8,8
05129,2024,9,5,5
05129,2024,10,3,3
05129,2024,11,2,2
05129,2024,12,4,4
05134,2021,7,1,1
05134,2021,9,2,2
05134,2021,10,2,2
05134,2022,3,1,1
05134,2022,6,1,1
05134,2022,10,1,1
05134,2022,11,1,1
05134,2023,1,1,1
05134,2023,2,1,1
05134,2023,7,1,1
05134,2023,8,1,1
05134,2023,10,1,1
05134,2023,11,1,1
05134,2024,2,1,1
05134,2024,4,1,1
05134,2024,9,4,4
05138,2021,1,1,1
05138,2021,2,1,1
05138,2021,4,1,1
05138,2021,5,1,1
05138,2021,7,1,1
05138,2021,9,1,1
05138,2022,1,2,2
05138,2022,2,1,1
05138,2022,3,1,1
05138,2022,5,2,2
05138,2022,7,1,1
05138,2022,11,2,2
05138,2022,12,4,4
05138,2023,5,1,1
05138,2023,7,1,1
05138,2023,10,1,1
05138,2023,11,1,1
05138,2023,12,1,1
05138,2024,1,1,1
05138,2024,2,2,2
05138,2024,3,3,3
05138,2024,4,3,3
05138,2024,6,2,2
05138,2024,7,1,1
05138,2024,8,3,3
05138,2024,9,2,2
05138,2024,11,1,1
05142,2021,9,1,1
05142,2022,9,2,2
05142,2023,10,2,2
05142,2023,12,1,1
05142,2024,9,1,1
05145,2022,1,1,1
05145,2022,9,1,1
05145,2023,3,1,1
05145,2023,8,2,2
05145,2023,9,1,1
05145,2023,11,1,1
05145,2024,8,2,2
